operacao,p,q,custo_i,total_acessos,custo_medio
586,520,545,2,339131,578.7218430034129
587,541,540,2,339133,577.7393526405451
588,269,244,905,340038,578.295918367347
589,609,584,628,340666,578.3803056027165
590,109,84,628,341294,578.464406779661
591,247,246,639,341933,578.5668358714044
592,562,537,906,342839,579.1199324324324
593,172,197,628,343467,579.2023608768972
594,166,167,2,343469,578.2306397306397
595,264,265,736,344205,578.4957983193277
596,129,130,1017,345222,579.2315436241611
597,89,114,628,345850,579.3132328308208
598,204,179,2,345852,578.3478260869565
599,51,76,1018,346870,579.0818030050084
600,415,390,2,346872,578.12
601,54,53,1019,347891,578.8535773710482
602,219,244,2,347893,577.8953488372093
603,491,490,2,347895,576.9402985074627
604,494,493,628,348523,577.024834437086
605,87,62,2,348525,576.0743801652893
606,158,183,631,349156,576.1650165016501
607,517,518,2,349158,575.2191103789127
608,358,359,1025,350183,575.9588815789474
609,105,104,2,350185,575.0164203612479
610,285,260,1026,351211,575.755737704918
611,343,318,1027,352238,576.4942716857611
612,348,347,638,352876,576.59477124183
613,615,614,1028,353904,577.331158238173
614,169,144,2,353906,576.3941368078176
615,53,78,2,353908,575.460162601626
616,494,495,1029,354937,576.1964285714286
617,576,577,2,354939,575.2658022690438
618,23,24,630,355569,575.3543689320388
619,22,21,632,356201,575.4458804523425
620,41,40,646,356847,575.5596774193548
621,467,466,2,356849,574.6360708534621
622,112,87,2,356851,573.7154340836013
623,245,220,628,357479,573.8025682182986
624,442,441,2,357481,572.8862179487179
625,411,436,1030,358511,573.6176
626,256,257,2,358513,572.7044728434505
627,469,494,2,358515,571.7942583732057
628,441,416,2,358517,570.8869426751593
629,132,107,2,358519,569.9825119236884
630,468,467,2,358521,569.0809523809523
631,345,344,2,358523,568.1822503961965
632,608,609,628,359151,568.2768987341772
633,358,333,1031,360182,569.0078988941548
634,418,419,1032,361214,569.7381703470031
635,430,429,628,361842,569.8299212598425
636,130,131,1033,362875,570.5581761006289
637,127,128,2,362877,569.6656200941915
638,115,90,1034,363911,570.3934169278997
639,364,365,2,363913,569.5039123630673
640,296,271,628,364541,569.5953125
641,260,235,2,364543,568.7098283931357
642,229,228,1036,365579,569.4376947040498
643,232,257,2,365581,568.5552099533437
644,189,190,2,365583,567.6754658385094
645,234,235,2,365585,566.7984496124031
646,195,170,633,366218,566.9009287925696
647,117,118,2,366220,566.0278207109737
648,487,486,632,366852,566.1296296296297
649,203,204,2,366854,565.2604006163328
650,142,117,1051,367905,566.0076923076923
651,582,583,634,368539,566.1121351766513
652,561,536,2,368541,565.2469325153374
653,7,32,1075,369616,566.0275650842267
654,387,388,628,370244,566.1223241590214
655,333,334,2,370246,565.2610687022901
656,420,421,628,370874,565.3567073170732
657,317,292,2,370876,564.4992389649924
658,327,352,628,371504,564.5957446808511
659,564,563,2,371506,563.742033383915
660,39,14,1082,372588,564.5272727272727
661,177,152,2,372590,563.6762481089258
662,144,119,2,372592,562.8277945619335
663,426,401,2,372594,561.9819004524887
664,248,223,2,372596,561.1385542168674
665,566,567,2,372598,560.2977443609022
666,53,28,2,372600,559.4594594594595
667,106,131,2,372602,558.6236881559221
668,473,472,660,373262,558.7754491017964
669,525,526,628,373890,558.8789237668161
670,327,302,2,373892,558.0477611940298
671,382,381,1087,374979,558.8360655737705
672,222,197,629,375608,558.9404761904761
673,610,609,629,376237,559.0445765230312
674,522,521,2,376239,558.2181008902077
675,291,316,2,376241,557.3940740740741
676,339,338,1100,377341,558.1967455621302
677,328,329,2,377343,557.3751846381093
678,31,56,2,377345,556.5560471976402
679,247,222,642,377987,556.6818851251841
680,185,186,2,377989,555.8661764705882
681,554,529,2,377991,555.0528634361234
682,393,392,2,377993,554.241935483871
683,108,83,2,377995,553.4333821376281
684,514,489,2,377997,552.6271929824561
685,48,23,628,378625,552.7372262773723
686,37,12,2,378627,551.9344023323615
687,46,45,636,379263,552.056768558952
688,25,0,628,379891,552.1671511627907
689,463,462,2,379893,551.3686502177068
690,101,76,2,379895,550.572463768116
691,11,10,2,379897,549.7785817655572
692,548,573,2,379899,548.9869942196532
693,137,112,2,379901,548.1976911976911
694,123,124,1125,381026,549.0288184438041
695,359,360,2,381028,548.241726618705
696,489,490,2,381030,547.4568965517242
697,368,367,2,381032,546.6743185078909
698,71,96,2,381034,545.8939828080229
699,229,230,2,381036,545.1158798283262
700,496,495,669,381705,545.2928571428571
701,366,365,2,381707,544.5178316690442
702,86,85,2,381709,543.7450142450142
703,496,497,1168,382877,544.6330014224751
704,482,481,2,382879,543.8622159090909
705,326,301,2,382881,543.0936170212766
706,278,303,2,382883,542.3271954674221
707,139,114,1169,384052,543.2135785007072
708,71,70,2,384054,542.4491525423729
709,275,276,2,384056,541.6868829337094
710,223,198,2,384058,540.9267605633803
711,590,565,2,384060,540.168776371308
712,496,521,2,384062,539.4129213483146
713,16,41,628,384690,539.5371669004207
714,501,476,2,384692,538.7843137254902
715,371,370,645,385337,538.9328671328672
716,511,536,2,385339,538.1829608938548
717,577,602,1190,386529,539.092050209205
718,37,38,2,386531,538.3440111420613
719,423,422,1191,387722,539.2517385257302
720,71,72,1192,388914,540.1583333333333
721,399,424,2,388916,539.4119278779473
722,171,146,2,388918,538.6675900277008
723,32,33,2,388920,537.9253112033196
724,157,182,2,388922,537.1850828729282
725,608,583,633,389555,537.3172413793103
726,474,499,1194,390749,538.2217630853994
727,205,206,2,390751,537.484181568088
728,539,514,2,390753,536.7486263736264
729,601,600,1196,391949,537.6529492455419
730,419,420,2,391951,536.9191780821918
731,208,183,2,391953,536.187414500684
732,537,538,2,391955,535.4576502732241
733,110,85,2,391957,534.7298772169167
734,105,130,2,391959,534.0040871934605
735,288,289,1199,393158,534.908843537415
736,455,430,1200,394358,535.8125
737,531,532,2,394360,535.0881953867029
738,337,338,2,394362,534.3658536585366
739,227,202,2,394364,533.6454668470907
740,120,145,2,394366,532.9270270270271
741,559,534,641,395007,533.0728744939271
742,261,262,2,395009,532.3571428571429
743,241,216,2,395011,531.64333781965
744,379,354,2,395013,530.9314516129032
745,430,405,2,395015,530.2214765100671
