operacao,p,q,custo_i,total_acessos,custo_medio
617,0,617,10619,6361887,10311.0
618,0,618,10620,6372507,10311.5
619,0,619,10621,6383128,10312.0
620,0,620,10622,6393750,10312.5
621,0,621,10623,6404373,10313.0
622,0,622,10624,6414997,10313.5
623,0,623,10625,6425622,10314.0
624,0,624,10626,6436248,10314.5
625,0,625,10627,6446875,10315.0
626,0,626,10628,6457503,10315.5
627,0,627,10629,6468132,10316.0
628,0,628,10630,6478762,10316.5
629,0,629,10631,6489393,10317.0
630,0,630,10632,6500025,10317.5
631,0,631,10633,6510658,10318.0
632,0,632,10634,6521292,10318.5
633,0,633,10635,6531927,10319.0
634,0,634,10636,6542563,10319.5
635,0,635,10637,6553200,10320.0
636,0,636,10638,6563838,10320.5
637,0,637,10639,6574477,10321.0
638,0,638,10640,6585117,10321.5
639,0,639,10641,6595758,10322.0
640,0,640,10642,6606400,10322.5
641,0,641,10643,6617043,10323.0
642,0,642,10644,6627687,10323.5
643,0,643,10645,6638332,10324.0
644,0,644,10646,6648978,10324.5
645,0,645,10647,6659625,10325.0
646,0,646,10648,6670273,10325.5
647,0,647,10649,6680922,10326.0
648,0,648,10650,6691572,10326.5
649,0,649,10651,6702223,10327.0
650,0,650,10652,6712875,10327.5
651,0,651,10653,6723528,10328.0
652,0,652,10654,6734182,10328.5
653,0,653,10655,6744837,10329.0
654,0,654,10656,6755493,10329.5
655,0,655,10657,6766150,10330.0
656,0,656,10658,6776808,10330.5
657,0,657,10659,6787467,10331.0
658,0,658,10660,6798127,10331.5
659,0,659,10661,6808788,10332.0
660,0,660,10662,6819450,10332.5
661,0,661,10663,6830113,10333.0
662,0,662,10664,6840777,10333.5
663,0,663,10665,6851442,10334.0
664,0,664,10666,6862108,10334.5
665,0,665,10667,6872775,10335.0
666,0,666,10668,6883443,10335.5
667,0,667,10669,6894112,10336.0
668,0,668,10670,6904782,10336.5
669,0,669,10671,6915453,10337.0
670,0,670,10672,6926125,10337.5
671,0,671,10673,6936798,10338.0
672,0,672,10674,6947472,10338.5
673,0,673,10675,6958147,10339.0
674,0,674,10676,6968823,10339.5
675,0,675,10677,6979500,10340.0
676,0,676,10678,6990178,10340.5
677,0,677,10679,7000857,10341.0
678,0,678,10680,7011537,10341.5
679,0,679,10681,7022218,10342.0
680,0,680,10682,7032900,10342.5
681,0,681,10683,7043583,10343.0
682,0,682,10684,7054267,10343.5
683,0,683,10685,7064952,10344.0
684,0,684,10686,7075638,10344.5
685,0,685,10687,7086325,10345.0
686,0,686,10688,7097013,10345.5
687,0,687,10689,7107702,10346.0
688,0,688,10690,7118392,10346.5
689,0,689,10691,7129083,10347.0
690,0,690,10692,7139775,10347.5
691,0,691,10693,7150468,10348.0
692,0,692,10694,7161162,10348.5
693,0,693,10695,7171857,10349.0
694,0,694,10696,7182553,10349.5
695,0,695,10697,7193250,10350.0
696,0,696,10698,7203948,10350.5
697,0,697,10699,7214647,10351.0
698,0,698,10700,7225347,10351.5
699,0,699,10701,7236048,10352.0
700,0,700,10702,7246750,10352.5
701,0,701,10703,7257453,10353.0
702,0,702,10704,7268157,10353.5
703,0,703,10705,7278862,10354.0
704,0,704,10706,7289568,10354.5
705,0,705,10707,7300275,10355.0
706,0,706,10708,7310983,10355.5
707,0,707,10709,7321692,10356.0
708,0,708,10710,7332402,10356.5
709,0,709,10711,7343113,10357.0
710,0,710,10712,7353825,10357.5
711,0,711,10713,7364538,10358.0
712,0,712,10714,7375252,10358.5
713,0,713,10715,7385967,10359.0
714,0,714,10716,7396683,10359.5
715,0,715,10717,7407400,10360.0
716,0,716,10718,7418118,10360.5
717,0,717,10719,7428837,10361.0
718,0,718,10720,7439557,10361.5
719,0,719,10721,7450278,10362.0
720,0,720,10722,7461000,10362.5
721,0,721,10723,7471723,10363.0
722,0,722,10724,7482447,10363.5
723,0,723,10725,7493172,10364.0
724,0,724,10726,7503898,10364.5
725,0,725,10727,7514625,10365.0
726,0,726,10728,7525353,10365.5
727,0,727,10729,7536082,10366.0
728,0,728,10730,7546812,10366.5
729,0,729,10731,7557543,10367.0
730,0,730,10732,7568275,10367.5
731,0,731,10733,7579008,10368.0
732,0,732,10734,7589742,10368.5
733,0,733,10735,7600477,10369.0
734,0,734,10736,7611213,10369.5
735,0,735,10737,7621950,10370.0
736,0,736,10738,7632688,10370.5
737,0,737,10739,7643427,10371.0
738,0,738,10740,7654167,10371.5
739,0,739,10741,7664908,10372.0
740,0,740,10742,7675650,10372.5
741,0,741,10743,7686393,10373.0
742,0,742,10744,7697137,10373.5
743,0,743,10745,7707882,10374.0
744,0,744,10746,7718628,10374.5
745,0,745,10747,7729375,10375.0
746,0,746,10748,7740123,10375.5
747,0,747,10749,7750872,10376.0
748,0,748,10750,7761622,10376.5
749,0,749,10751,7772373,10377.0
750,0,750,10752,7783125,10377.5
751,0,751,10753,7793878,10378.0
752,0,752,10754,7804632,10378.5
753,0,753,10755,7815387,10379.0
754,0,754,10756,7826143,10379.5
755,0,755,10757,7836900,10380.0
756,0,756,10758,7847658,10380.5
757,0,757,10759,7858417,10381.0
758,0,758,10760,7869177,10381.5
759,0,759,10761,7879938,10382.0
760,0,760,10762,7890700,10382.5
761,0,761,10763,7901463,10383.0
762,0,762,10764,7912227,10383.5
763,0,763,10765,7922992,10384.0
764,0,764,10766,7933758,10384.5
765,0,765,10767,7944525,10385.0
766,0,766,10768,7955293,10385.5
767,0,767,10769,7966062,10386.0
768,0,768,10770,7976832,10386.5
769,0,769,10771,7987603,10387.0
770,0,770,10772,7998375,10387.5
771,0,771,10773,8009148,10388.0
772,0,772,10774,8019922,10388.5
773,0,773,10775,8030697,10389.0
774,0,774,10776,8041473,10389.5
775,0,775,10777,8052250,10390.0
776,0,776,10778,8063028,10390.5
